league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
GER-Bundesliga,2425,2024-10-19 Mainz 05-RB Leipzig,2024-10-19,15:30,Mainz 05,0–2,RB Leipzig,30100,Mewa Arena,Felix Zwayer,/en/matches/11e680f6/Mainz-05-RB-Leipzig-October-19-2024-Bundesliga
GER-Bundesliga,2425,2024-10-20 Holstein Kiel-Union Berlin,2024-10-20,15:30,Holstein Kiel,0–2,Union Berlin,15034,Holstein-Stadion,Timo Gerach,/en/matches/49aa197e/Holstein-Kiel-Union-Berlin-October-20-2024-Bundesliga
GER-Bundesliga,2425,2024-10-20 Wolfsburg-Werder Bremen,2024-10-20,17:30,Wolfsburg,2–4,Werder Bremen,28917,Volkswagen Arena,Daniel Schlager,/en/matches/afaee823/Wolfsburg-Werder-Bremen-October-20-2024-Bundesliga
GER-Bundesliga,2425,2024-10-25 Mainz 05-Gladbach,2024-10-25,20:30,Mainz 05,1–1,Gladbach,33000,Mewa Arena,Martin Petersen,/en/matches/ad43a11c/Mainz-05-Monchengladbach-October-25-2024-Bundesliga
GER-Bundesliga,2425,2024-10-26 Augsburg-Dortmund,2024-10-26,15:30,Augsburg,2–1,Dortmund,30660,WWK Arena,Tobias Welz,/en/matches/5c672984/Augsburg-Dortmund-October-26-2024-Bundesliga
GER-Bundesliga,2425,2024-10-26 RB Leipzig-Freiburg,2024-10-26,15:30,RB Leipzig,3–1,Freiburg,45908,Red Bull Arena,Sven Jablonski,/en/matches/e12d2336/RB-Leipzig-Freiburg-October-26-2024-Bundesliga
GER-Bundesliga,2425,2024-10-26 St Pauli-Wolfsburg,2024-10-26,15:30,St Pauli,0–0,Wolfsburg,29546,Millerntor-Stadion,Tobias Reichel,/en/matches/75894bbc/St-Pauli-Wolfsburg-October-26-2024-Bundesliga
GER-Bundesliga,2425,2024-10-26 Stuttgart-Holstein Kiel,2024-10-26,15:30,Stuttgart,2–1,Holstein Kiel,59000,MHPArena,Robert Hartmann,/en/matches/1cd904a3/Stuttgart-Holstein-Kiel-October-26-2024-Bundesliga
GER-Bundesliga,2425,2024-10-26 Werder Bremen-Leverkusen,2024-10-26,18:30,Werder Bremen,2–2,Leverkusen,42100,Weserstadion,Florian Badstübner,/en/matches/7c95858c/Werder-Bremen-Leverkusen-October-26-2024-Bundesliga
GER-Bundesliga,2425,2024-10-27 Bochum-Bayern Munich,2024-10-27,15:30,Bochum,0–5,Bayern Munich,26000,Vonovia Ruhrstadion,Florian Exner,/en/matches/47698a8f/Bochum-Bayern-Munich-October-27-2024-Bundesliga
GER-Bundesliga,2425,2024-10-27 Heidenheim-Hoffenheim,2024-10-27,19:30,Heidenheim,0–0,Hoffenheim,15000,Voith-Arena,Christian Dingert,/en/matches/fc665c18/Heidenheim-Hoffenheim-October-27-2024-Bundesliga
GER-Bundesliga,2425,2024-10-27 Union Berlin-Eintracht Frankfurt,2024-10-27,17:30,Union Berlin,1–1,Eintracht Frankfurt,22012,Stadion An der Alten Försterei,Harm Osmers,/en/matches/90526971/Union-Berlin-Eintracht-Frankfurt-October-27-2024-Bundesliga
GER-Bundesliga,2425,2024-11-01 Leverkusen-Stuttgart,2024-11-01,20:30,Leverkusen,0–0,Stuttgart,30210,BayArena,Daniel Siebert,/en/matches/c803a5eb/Leverkusen-Stuttgart-November-1-2024-Bundesliga
GER-Bundesliga,2425,2024-11-02 Bayern Munich-Union Berlin,2024-11-02,15:30,Bayern Munich,3–0,Union Berlin,75000,Allianz Arena,Matthias Jöllenbeck,/en/matches/61af44e4/Bayern-Munich-Union-Berlin-November-2-2024-Bundesliga
