league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
ITA-Serie A,2324,2023-10-27 Genoa-Salernitana,2023-10-27,20:45,Genoa,1–0,Salernitana,31904,Stadio Comunale Luigi Ferraris,Davide Massa,/en/matches/7f1d09c9/Genoa-Salernitana-October-27-2023-Serie-A
ITA-Serie A,2324,2023-10-28 Juventus-Hellas Verona,2023-10-28,20:45,Juventus,1–0,Hellas Verona,39429,Allianz Stadium,Ermanno Feliciani,/en/matches/0c01fc2f/Juventus-Hellas-Verona-October-28-2023-Serie-A
ITA-Serie A,2324,2023-10-28 Lecce-Torino,2023-10-28,18:00,Lecce,0–1,Torino,26123,Stadio Comunale Via Del Mare,Gianluca Aureliano,/en/matches/8fe12227/Lecce-Torino-October-28-2023-Serie-A
ITA-Serie A,2324,2023-10-28 Sassuolo-Bologna,2023-10-28,15:00,Sassuolo,1–1,Bologna,16931,Mapei Stadium - Città del Tricolore,Antonio Giua,/en/matches/4f7ed7cb/Sassuolo-Bologna-October-28-2023-Serie-A
ITA-Serie A,2324,2023-10-29 Cagliari-Frosinone,2023-10-29,12:30,Cagliari,4–3,Frosinone,15946,Unipol Domus,Luca Pairetto,/en/matches/0272be62/Cagliari-Frosinone-October-29-2023-Serie-A
ITA-Serie A,2324,2023-10-29 Inter-Roma,2023-10-29,18:00,Inter,1–0,Roma,75573,Stadio Giuseppe Meazza,Fabio Maresca,/en/matches/027a1ba2/Internazionale-Roma-October-29-2023-Serie-A
ITA-Serie A,2324,2023-10-29 Monza-Udinese,2023-10-29,15:00,Monza,1–1,Udinese,10311,U-Power Stadium,Alessandro Prontera,/en/matches/70a51fa4/Monza-Udinese-October-29-2023-Serie-A
ITA-Serie A,2324,2023-10-29 Napoli-Milan,2023-10-29,20:45,Napoli,2–2,Milan,54000,Stadio Diego Armando Maradona,Daniele Orsato,/en/matches/ede9d5b8/Napoli-Milan-October-29-2023-Serie-A
ITA-Serie A,2324,2023-10-30 Empoli-Atalanta,2023-10-30,18:30,Empoli,0–3,Atalanta,7825,Stadio Carlo Castellani,Luca Massimi,/en/matches/6e46ce92/Empoli-Atalanta-October-30-2023-Serie-A
ITA-Serie A,2324,2023-10-30 Lazio-Fiorentina,2023-10-30,20:45,Lazio,1–0,Fiorentina,35000,Stadio Olimpico,Matteo Marcenaro,/en/matches/624e865d/Lazio-Fiorentina-October-30-2023-Serie-A
ITA-Serie A,2324,2023-11-03 Bologna-Lazio,2023-11-03,20:45,Bologna,1–0,Lazio,24178,Stadio Renato Dall'Ara,Federico La Penna,/en/matches/f1f6882a/Bologna-Lazio-November-3-2023-Serie-A
