league,season,game,date,time,home_team,score,away_team,attendance,venue,referee,match_report
FRA-Ligue 1,2223,2022-09-18 Reims-Monaco,2022-09-18,13:00,Reims,0–3,Monaco,10000,Stade Auguste-Delaune,Marc Bollengier,/en/matches/c6dee225/Reims-Monaco-September-18-2022-Ligue-1
FRA-Ligue 1,2223,2022-09-30 Angers-Marseille,2022-09-30,21:00,Angers,0–3,Marseille,19000,Stade Raymond Kopa,Johan Hamel,/en/matches/3c6ebbba/Angers-Marseille-September-30-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-01 Paris Saint-Germain-Nice,2022-10-01,21:00,Paris Saint-Germain,2–1,Nice,47000,Parc des Princes,Jérôme Brisard,/en/matches/36ac65e1/Paris-Saint-Germain-Nice-October-1-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-01 Strasbourg-Rennes,2022-10-01,17:00,Strasbourg,1–3,Rennes,25226,Stade de la Meinau,Eric Wattellier,/en/matches/304c5e6e/Strasbourg-Rennes-October-1-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Ajaccio-Clermont Foot,2022-10-02,15:00,Ajaccio,1–3,Clermont Foot,6610,Stade François Coty,Clément Turpin,/en/matches/eaedf3ff/Ajaccio-Clermont-Foot-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Auxerre-Brest,2022-10-02,15:00,Auxerre,1–1,Brest,14630,Stade de l'Abbé Deschamps,Florent Batta,/en/matches/0992c452/Auxerre-Brest-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Lens-Lyon,2022-10-02,20:45,Lens,1–0,Lyon,36674,Stade Bollaert-Delelis,Benoît Bastien,/en/matches/ea3fd79a/Lens-Lyon-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Lorient-Lille,2022-10-02,13:00,Lorient,2–1,Lille,14916,Stade du Moustoir,Hakim Ben El Hadj Salem,/en/matches/16686466/Lorient-Lille-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Monaco-Nantes,2022-10-02,17:05,Monaco,4–1,Nantes,5202,Stade Louis II,Thomas Léonard,/en/matches/3f3b16cf/Monaco-Nantes-October-2-2022-Ligue-1
FRA-Ligue 1,2223,2022-10-02 Toulouse-Montpellier,2022-10-02,15:00,Toulouse,4–2,Montpellier,21820,Stadium Municipal,Jérémie Pignard,/en/matches/b53830d8/Toulouse-Montpellier-October-2-2022-Ligue-1
