date,time,home_team,score,away_team,attendance,venue,referee,match_report
2025-12-07,15:30,Hamburger SV,3–2,Werder Bremen,56100,Volksparkstadion,Sascha Stegemann,https://fbref.com/en/matches/c333d68f/Hamburger-SV-Werder-Bremen-December-7-2025-Bundesliga
2025-12-12,20:30,Union Berlin,3–1,RB Leipzig,22012,Stadion An der Alten Försterei,Daniel Schlager,https://fbref.com/en/matches/4dc11eae/Union-Berlin-RB-Leipzig-December-12-2025-Bundesliga
2025-12-13,15:30,Eintracht Frankfurt,1–0,Augsburg,58300,Deutsche Bank Park,Frank Willenborg,https://fbref.com/en/matches/f34958b8/Eintracht-Frankfurt-Augsburg-December-13-2025-Bundesliga
2025-12-13,15:30,Gladbach,1–3,Wolfsburg,47161,Stadion im Borussia-Park,Patrick Ittrich,https://fbref.com/en/matches/80e5b371/Monchengladbach-Wolfsburg-December-13-2025-Bundesliga
2025-12-13,15:30,Hoffenheim,4–1,Hamburger SV,30150,PreZero Arena,Martin Petersen,https://fbref.com/en/matches/864e8847/Hoffenheim-Hamburger-SV-December-13-2025-Bundesliga
2025-12-13,18:30,Leverkusen,2–0,Köln,30210,BayArena,Harm Osmers,https://fbref.com/en/matches/140ccda0/Leverkusen-Koln-December-13-2025-Bundesliga
2025-12-13,15:30,St Pauli,2–1,Heidenheim,29546,Millerntor-Stadion,Sören Storks,https://fbref.com/en/matches/11d46242/St-Pauli-Heidenheim-December-13-2025-Bundesliga
2025-12-14,17:30,Bayern Munich,2–2,Mainz 05,75000,Allianz Arena,Robin Braun,https://fbref.com/en/matches/26af6e0a/Bayern-Munich-Mainz-05-December-14-2025-Bundesliga
2025-12-14,15:30,Freiburg,1–1,Dortmund,34700,Europa-Park Stadion,Felix Zwayer,https://fbref.com/en/matches/575f0812/Freiburg-Dortmund-December-14-2025-Bundesliga
2025-12-14,19:30,Werder Bremen,0–4,Stuttgart,42100,Weserstadion,Robert Hartmann,https://fbref.com/en/matches/ed906624/Werder-Bremen-Stuttgart-December-14-2025-Bundesliga
2025-12-19,20:30,Dortmund,2–0,Gladbach,81365,Signal Iduna Park,Sven Jablonski,https://fbref.com/en/matches/11bea5d1/Dortmund-Monchengladbach-December-19-2025-Bundesliga
2025-12-20,15:30,Augsburg,0–0,Werder Bremen,30000,WWK Arena,Tobias Welz,https://fbref.com/en/matches/3c8722f1/Augsburg-Werder-Bremen-December-20-2025-Bundesliga
2025-12-20,15:30,Hamburger SV,1–1,Eintracht Frankfurt,57000,Volksparkstadion,Tobias Stieler,https://fbref.com/en/matches/c89b2306/Hamburger-SV-Eintracht-Frankfurt-December-20-2025-Bundesliga
2025-12-20,15:30,Köln,0–1,Union Berlin,50000,RheinEnergieSTADION,Christian Dingert,https://fbref.com/en/matches/2c1539b2/Koln-Union-Berlin-December-20-2025-Bundesliga
2025-12-20,18:30,RB Leipzig,1–3,Leverkusen,46053,Red Bull Arena,Benjamin Brand,https://fbref.com/en/matches/10ba5054/RB-Leipzig-Leverkusen-December-20-2025-Bundesliga
2025-12-20,15:30,Stuttgart,0–0,Hoffenheim,59000,MHPArena,Daniel Siebert,https://fbref.com/en/matches/67fbedfd/Stuttgart-Hoffenheim-December-20-2025-Bundesliga
2025-12-20,15:30,Wolfsburg,3–4,Freiburg,22045,Volkswagen Arena,Sascha Stegemann,https://fbref.com/en/matches/10d7ed3d/Wolfsburg-Freiburg-December-20-2025-Bundesliga
2025-12-21,17:30,Heidenheim,0–4,Bayern Munich,15000,Voith-Arena,Florian Badstübner,https://fbref.com/en/matches/b79b9c38/Heidenheim-Bayern-Munich-December-21-2025-Bundesliga
2025-12-21,15:30,Mainz 05,0–0,St Pauli,33000,Mewa Arena,Matthias Jöllenbeck,https://fbref.com/en/matches/fb85cefc/Mainz-05-St-Pauli-December-21-2025-Bundesliga
2026-01-09,20:30,Eintracht Frankfurt,3–3,Dortmund,59500,Deutsche Bank Park,Daniel Schlager,https://fbref.com/en/matches/e5ec568b/Eintracht-Frankfurt-Dortmund-January-9-2026-Bundesliga
2026-01-10,15:30,Freiburg,2–1,Hamburger SV,34700,Europa-Park Stadion,Timo Gerach,https://fbref.com/en/matches/df9b2eb9/Freiburg-Hamburger-SV-January-10-2026-Bundesliga
2026-01-10,15:30,Heidenheim,2–2,Köln,15000,Voith-Arena,Robert Schröder,https://fbref.com/en/matches/764e2067/Heidenheim-Koln-January-10-2026-Bundesliga
2026-01-10,18:30,Leverkusen,1–4,Stuttgart,30210,BayArena,Felix Zwayer,https://fbref.com/en/matches/0f4d2493/Leverkusen-Stuttgart-January-10-2026-Bundesliga
