date,time,home_team,score,away_team,attendance,venue,referee,match_report
2024-10-25,20:45,Rennes,1–0,Le Havre,27130,Roazhon Park,Florent Batta,https://fbref.com/en/matches/603efa49/Rennes-Le-Havre-October-25-2024-Ligue-1
2024-10-26,17:00,Angers,4–2,Saint-Étienne,13796,Stade Raymond Kopa,Marc Bollengier,https://fbref.com/en/matches/61752f42/Angers-Saint-Etienne-October-26-2024-Ligue-1
2024-10-26,21:00,Lens,0–2,Lille,38223,Stade Bollaert-Delelis,Benoît Bastien,https://fbref.com/en/matches/ac39189f/Lens-Lille-October-26-2024-Ligue-1
2024-10-26,19:00,Reims,1–2,Brest,17172,Stade Auguste-Delaune,Jérôme Brisard,https://fbref.com/en/matches/6e7b242b/Reims-Brest-October-26-2024-Ligue-1
2024-10-27,15:00,Lyon,2–2,Auxerre,54868,Groupama Stadium,Jeremy Stinat,https://fbref.com/en/matches/bd02e3b4/Lyon-Auxerre-October-27-2024-Ligue-1
2024-10-27,20:45,Marseille,0–3,Paris Saint-Germain,66115,Orange Vélodrome,François Letexier,https://fbref.com/en/matches/c29b0d3a/Marseille-Paris-Saint-Germain-October-27-2024-Ligue-1
2024-10-27,17:00,Montpellier,0–3,Toulouse,14111,Stade de la Mosson-Mondial 98,Thomas Léonard,https://fbref.com/en/matches/49e6789d/Montpellier-Toulouse-October-27-2024-Ligue-1
2024-10-27,17:00,Nice,2–1,Monaco,29795,Allianz Riviera,Jérémie Pignard,https://fbref.com/en/matches/4cbaa8c3/Nice-Monaco-October-27-2024-Ligue-1
2024-10-27,17:00,Strasbourg,3–1,Nantes,19398,Stade de la Meinau,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/98168e71/Strasbourg-Nantes-October-27-2024-Ligue-1
2024-11-01,21:00,Lille,1–1,Lyon,45084,Decathlon Arena - Stade Pierre-Mauroy,Jérôme Brisard,https://fbref.com/en/matches/d592199c/Lille-Lyon-November-1-2024-Ligue-1
2024-11-01,19:00,Monaco,0–1,Angers,10540,Stade Louis II,Abdelatif Kherradji,https://fbref.com/en/matches/3e5f7440/Monaco-Angers-November-1-2024-Ligue-1
2024-11-02,19:00,Brest,0–1,Nice,14534,Stade Francis-Le Blé,Clément Turpin,https://fbref.com/en/matches/0fab1c2f/Brest-Nice-November-2-2024-Ligue-1
2024-11-02,17:00,Paris Saint-Germain,1–0,Lens,47926,Parc des Princes,Willy Delajod,https://fbref.com/en/matches/51cd344b/Paris-Saint-Germain-Lens-November-2-2024-Ligue-1
2024-11-02,21:00,Saint-Étienne,2–0,Strasbourg,33043,Stade Geoffroy-Guichard,Eric Wattellier,https://fbref.com/en/matches/535bbc15/Saint-Etienne-Strasbourg-November-2-2024-Ligue-1
2024-11-03,17:00,Auxerre,4–0,Rennes,16366,Stade de l'Abbé Deschamps,Gaël Angoula,https://fbref.com/en/matches/acc30562/Auxerre-Rennes-November-3-2024-Ligue-1
2024-11-03,17:00,Le Havre,1–0,Montpellier,18703,Stade Océane,Stéphanie Frappart,https://fbref.com/en/matches/a537aa6e/Le-Havre-Montpellier-November-3-2024-Ligue-1
2024-11-03,20:45,Nantes,1–2,Marseille,33248,Stade de la Beaujoire - Louis Fonteneau,Bastien Dechepy,https://fbref.com/en/matches/53893177/Nantes-Marseille-November-3-2024-Ligue-1
2024-11-03,15:00,Toulouse,1–0,Reims,23769,Stadium de Toulouse,Mathieu Vernice,https://fbref.com/en/matches/f0237d4b/Toulouse-Reims-November-3-2024-Ligue-1
2024-11-08,20:45,Marseille,1–3,Auxerre,64184,Orange Vélodrome,Marc Bollengier,https://fbref.com/en/matches/4ab63460/Marseille-Auxerre-November-8-2024-Ligue-1
2024-11-09,21:00,Angers,2–4,Paris Saint-Germain,17212,Stade Raymond Kopa,Benoît Millot,https://fbref.com/en/matches/ddf738c4/Angers-Paris-Saint-Germain-November-9-2024-Ligue-1
2024-11-09,19:00,Lens,3–2,Nantes,38202,Stade Bollaert-Delelis,Clément Turpin,https://fbref.com/en/matches/172c33b7/Lens-Nantes-November-9-2024-Ligue-1
2024-11-09,17:00,Strasbourg,1–3,Monaco,19451,Stade de la Meinau,Bastien Dechepy,https://fbref.com/en/matches/cd41b272/Strasbourg-Monaco-November-9-2024-Ligue-1
2024-11-10,17:00,Le Havre,0–3,Reims,19256,Stade Océane,Hakim Ben El Hadj Salem,https://fbref.com/en/matches/63390fe7/Le-Havre-Reims-November-10-2024-Ligue-1
